,model,metric,objective_value,SCR
0,linear,SCR,"(182.69371981120636, 1.3087288172293368, 38000.766231548245, 0.0007782101167315176)",38000.766231548245
1,tapid,SCR,"(11.962526644033554, 3.0049249703531187, 33976.18641961899, 0.007003891050583658)",33976.18641961899
2,mpid,SCR,"(630.4752417498114, 1.2006254642625782, 20718.559628818428, 0.0)",20718.559628818428
3,broi,SCR,"(1673.199264722307, 1.2203193763993325, 16290.10399082903, 0.0)",16290.10399082903
